sample #',V5',V2'
78770,927,1006
78780,934,985
78790,927,983
78800,927,994
78810,951,1020
78820,959,1040
78830,980,1049
78840,983,1043
78850,975,1042
78860,985,1069
78870,981,1026
78880,980,1047
78890,980,1042
78900,983,1090
78910,975,1069
78920,984,1075
78930,994,1065
78940,974,1030
78950,986,1011
78960,986,1047
78970,996,1089
78980,1193,1101
78990,1027,901
79000,940,1018
79010,938,991
79020,936,982
79030,932,1031
79040,936,981
79050,931,982
79060,923,1037
79070,924,935
79080,940,996
79090,958,1020
79100,984,1069
79110,984,1049
79120,977,1043
79130,980,1051
79140,981,1057
79150,975,1053
79160,975,1052
79170,979,1116
79180,975,1019
79190,980,1035
79200,1002,1052
79210,976,1051
79220,976,1102
79230,985,1036
79240,983,1044
79250,1032,1070
79260,1243,1134
79270,955,932
79280,932,1061
79290,940,1004
79300,931,1011
79310,932,1009
79320,930,1006
79330,923,1003
79340,925,996
79350,927,995
79360,927,997
79370,938,1009
79380,958,1033
79390,969,1049
79400,981,1058
79410,979,1065
79420,976,1066
79430,978,1067
79440,984,1072
79450,977,1073
79460,977,1070
79470,974,1074
79480,973,1064
79490,982,1064
79500,989,1065
79510,976,1055
79520,980,1056
79530,985,1059
79540,990,1067
79550,1168,1133
79560,1065,983
79570,917,1003
79580,937,1028
79590,939,1024
79600,935,1017
79610,933,1012
79620,933,1013
79630,930,1012
79640,928,1008
79650,933,1013
79660,944,1021
79670,969,1042
79680,985,1061
79690,984,1066
79700,986,1066
79710,987,1067
79720,984,1068
79730,990,1067
79740,994,1072
79750,990,1071
79760,992,1071
79770,989,1074
79780,992,1066
79790,1006,1067
79800,999,1063
79810,992,1055
79820,993,1055
79830,994,1067
79840,1142,1112
79850,1101,1014
79860,933,1001
79870,949,1025
79880,951,1019
79890,946,1022
79900,943,1018
79910,938,1010
79920,938,1006
79930,935,1007
79940,938,1006
79950,953,1014
79960,969,1030
79970,986,1046
79980,999,1057
79990,999,1062
80000,993,1058
80010,999,1063
80020,996,1063
80030,997,1077
80040,1004,1066
80050,991,1069
80060,1001,1060
80070,1007,1057
80080,1007,1055
80090,1002,1049
80100,1000,1049
80110,998,1048
80120,1002,1051
80130,1127,1106
80140,1169,1046
80150,936,974
80160,951,1023
80170,949,1014
80180,945,1012
80190,945,1013
80200,934,1006
80210,933,1008
80220,930,998
80230,931,997
80240,939,999
80250,952,1011
80260,975,1031
80270,992,1051
80280,994,1055
80290,992,1049
80300,992,1049
80310,994,1057
80320,991,1056
80330,989,1054
80340,991,1062
80350,983,1057
80360,994,1051
80370,1005,1053
80380,990,1044
80390,990,1045
80400,996,1048
80410,994,1051
80420,1059,1068
80430,1266,1115
80440,982,935
80450,943,1015
80460,950,1019
80470,941,1013
80480,940,1010
80490,938,1003
80500,930,1001
80510,928,995
80520,930,1001
80530,934,1000
80540,950,1009
80550,974,1034
80560,985,1053
80570,991,1051
80580,993,1056
80590,985,1058
80600,983,1059
80610,986,1065
80620,985,1066
80630,986,1068
80640,986,1063
80650,995,1053
80660,1002,1056
80670,991,1051
80680,986,1043
80690,990,1041
80700,992,1043
80710,1032,1065
80720,1241,1113
80730,984,930
80740,934,1013
80750,939,1007
80760,936,1002
80770,929,1005
80780,926,998
80790,927,993
80800,922,993
80810,917,987
80820,925,991
80830,943,1006
80840,963,1029
80850,979,1045
80860,979,1049
80870,979,1047
80880,976,1052
80890,971,1057
80900,972,1052
80910,971,1059
80920,966,1052
80930,974,1048
80940,989,1050
80950,975,1045
80960,970,1036
80970,975,1040
80980,972,1042
80990,1045,1073
81000,1259,1108
81010,917,957
81020,919,1017
81030,923,1016
81040,918,1011
81050,918,1007
81060,914,1003
81070,903,1003
81080,901,994
81090,912,999
81100,930,1017
81110,950,1033
81120,966,1051
81130,969,1054
81140,966,1053
81150,971,1054
81160,968,1063
81170,965,1062
81180,967,1065
81190,961,1066
81200,963,1058
81210,981,1061
81220,966,1054
81230,973,1047
81240,970,1053
81250,971,1053
81260,1072,1091
81270,1186,1070
81280,912,992
81290,921,1024
81300,925,1015
81310,920,1020
81320,920,1013
81330,913,1017
81340,907,1005
81350,906,1003
81360,912,1011
81370,920,1023
81380,945,1036
81390,964,1057
81400,965,1060
81410,968,1059
81420,965,1063
81430,967,1070
81440,964,1069
81450,968,1072
81460,962,1070
81470,962,1068
81480,968,1065
81490,980,1063
81500,968,1056
81510,967,1057
81520,966,1053
81530,969,1053
81540,981,1066
81550,1165,1113
81560,1044,982
81570,916,1014
81580,920,1028
81590,920,1018
81600,919,1023
81610,912,1013
81620,912,1008
81630,906,1006
81640,910,1000
81650,914,1006
81660,932,1021
81670,957,1034
81680,970,1054
81690,977,1062
81700,979,1061
81710,972,1063
81720,976,1066
81730,976,1066
81740,975,1066
81750,974,1067
81760,974,1066
81770,987,1057
81780,1001,1059
81790,986,1053
81800,980,1052
81810,982,1049
81820,978,1048
81830,989,1059
81840,1153,1104
81850,1124,1013
81860,925,982
81870,935,1022
81880,929,1015
81890,930,1014
81900,928,1012
81910,921,1003
81920,920,1000
81930,922,1000
81940,919,1000
81950,933,1008
81960,962,1029
81970,973,1047
81980,980,1054
81990,979,1052
82000,978,1056
82010,977,1058
82020,977,1062
82030,975,1061
82040,974,1057
82050,975,1055
82060,979,1050
82070,995,1044
82080,986,1049
82090,980,1041
82100,979,1039
82110,980,1043
82120,994,1052
82130,1172,1096
82140,1070,975
82150,918,1004
82160,929,1017
82170,929,1014
82180,923,1007
82190,922,1005
82200,920,1003
82210,916,998
82220,917,999
82230,924,1008
82240,940,1019
82250,963,1037
82260,980,1051
82270,977,1055
82280,979,1054
82290,981,1056
82300,978,1061
82310,979,1061
82320,1006,1074
82330,919,1113
82340,809,1063
82350,848,1088
82360,893,1061
82370,935,1103
82380,978,1044
82390,1007,1011
82400,1013,995
82410,1027,989
82420,1031,980
82430,1042,980
82440,1052,987
82450,1049,996
82460,1029,1011
82470,1019,1028
82480,1006,1046
82490,994,1054
82500,996,1064
82510,987,1066
82520,983,1056
82530,984,1058
82540,980,1055
82550,978,1053
82560,981,1062
82570,977,1056
82580,976,1045
82590,984,1055
82600,979,1054
82610,979,1046
82620,979,1056
82630,985,1063
82640,1027,1120
82650,979,1070
82660,909,1014
82670,829,974
82680,866,906
82690,962,923
82700,997,1012
82710,1012,1052
82720,1023,1072
82730,1033,1072
82740,1044,1084
82750,1055,1095
82760,1052,1103
82770,1054,1118
82780,1051,1115
82790,1034,1110
82800,1029,1106
82810,1014,1098
82820,1009,1078
82830,1005,1072
82840,992,1063
82850,985,1056
82860,982,1053
82870,975,1047
82880,974,1040
82890,974,1038
82900,963,1034
82910,964,1031
82920,969,1043
82930,1206,1149
82940,985,1061
82950,912,1006
82960,811,960
82970,824,895
82980,932,892
82990,977,994
83000,994,1023
83010,1015,1048
83020,1020,1049
83030,1031,1056
83040,1039,1068
83050,1043,1078
83060,1039,1082
83070,1030,1084
83080,1007,1071
83090,999,1058
83100,987,1048
83110,976,1037
83120,970,1031
83130,969,1032
83140,969,1030
83150,962,1024
83160,962,1026
83170,959,1023
83180,957,1020
83190,957,1024
83200,950,1028
83210,1000,1117
83220,960,1034
83230,871,971
83240,801,927
83250,865,864
83260,954,936
83270,975,992
83280,993,1031
83290,1012,1042
83300,1020,1045
83310,1028,1057
83320,1040,1069
83330,1046,1077
83340,1036,1087
83350,1018,1077
83360,1002,1059
83370,993,1048
83380,985,1041
83390,982,1035
83400,977,1035
83410,970,1031
83420,964,1028
83430,961,1022
83440,960,1018
83450,961,1014
83460,959,1021
83470,959,1021
83480,962,1024
83490,1005,1071
83500,959,1025
83510,878,968
83520,807,935
83530,841,873
83540,930,880
83550,975,976
83560,982,1011
83570,998,1033
83580,1010,1043
83590,1023,1050
83600,1032,1055
83610,1037,1072
83620,1036,1079
83630,1031,1082
83640,1016,1077
83650,992,1061
83660,984,1047
83670,978,1041
83680,968,1034
83690,967,1028
83700,963,1029
83710,956,1029
83720,943,1021
83730,948,1020
83740,939,1020
83750,946,1015
83760,942,1019
83770,943,1025
83780,952,1024
83790,990,1066
83800,935,1021
83810,844,968
83820,782,926
83830,829,877
83840,932,908
83850,969,994
83860,982,1025
83870,1002,1035
83880,1013,1046
83890,1025,1054
83900,1029,1059
83910,1042,1074
83920,1036,1081
83930,1027,1076
83940,1009,1072
83950,991,1060
83960,977,1047
83970,975,1043
83980,969,1033
83990,964,1028
84000,964,1031
84010,958,1029
84020,958,1023
84030,953,1022
84040,949,1021
84050,947,1017
84060,952,1022
84070,947,1028
84080,1122,1187
84090,975,1045
84100,882,994
84110,800,949
84120,821,889
84130,921,888
84140,963,975
84150,982,1015
84160,999,1039
84170,1014,1042
84180,1024,1051
84190,1033,1056
84200,1036,1063
84210,1040,1078
84220,1035,1082
84230,1013,1073
84240,999,1073
84250,982,1057
84260,974,1040
84270,972,1040
84280,963,1036
84290,962,1032
84300,960,1035
84310,954,1029
84320,951,1023
84330,954,1025
84340,950,1026
84350,940,1019
84360,938,1031
84370,959,1028
84380,997,1075
84390,941,1023
84400,866,974
84410,795,940
84420,829,886
84430,919,872
84440,962,975
84450,973,1010
84460,986,1037
84470,997,1041
84480,1009,1050
84490,1019,1056
84500,1029,1062
84510,1040,1084
84520,1035,1086
84530,1021,1078
84540,1006,1071
84550,985,1060
84560,973,1043
84570,972,1038
84580,963,1036
84590,954,1035
84600,959,1031
84610,956,1029
84620,947,1023
84630,955,1023
84640,953,1020
84650,948,1018
84660,945,1027
84670,959,1023
84680,991,1065
84690,935,1024
84700,857,975
84710,775,940
84720,820,886
84730,900,868
84740,957,967
84750,974,1005
84760,990,1033
84770,1006,1037
84780,1020,1048
84790,1028,1052
84800,1037,1060
84810,1041,1075
84820,1031,1080
84830,1017,1070
84840,1000,1061
84850,977,1049
84860,966,1036
84870,966,1031
84880,957,1029
84890,958,1024
84900,959,1026
84910,951,1023
84920,948,1017
84930,950,1020
84940,944,1017
84950,938,1015
84960,941,1023
84970,962,1025
84980,989,1063
84990,931,1019
85000,855,976
85010,784,939
85020,823,884
85030,914,883
85040,957,978
85050,974,1010
85060,993,1036
85070,1003,1037
85080,1018,1050
85090,1029,1060
85100,1035,1067
85110,1036,1079
85120,1019,1075
85130,994,1060
85140,978,1051
85150,968,1042
85160,963,1031
85170,960,1033
85180,957,1032
85190,953,1028
85200,953,1032
85210,950,1029
85220,943,1019
85230,945,1026
85240,941,1031
85250,949,1023
85260,1049,1169
85270,958,1048
85280,871,985
85290,803,955
85300,822,889
85310,917,875
85320,961,983
85330,972,1019
85340,994,1032
85350,1009,1044
85360,1020,1057
85370,1027,1063
85380,1039,1081
85390,1029,1085
85400,1012,1077
85410,991,1065
85420,975,1049
85430,967,1037
85440,970,1039
85450,962,1039
85460,956,1035
85470,951,1033
85480,954,1031
85490,949,1025
85500,949,1025
85510,943,1031
85520,942,1024
85530,966,1029
85540,1002,1073
85550,920,1011
85560,848,970
85570,780,932
85580,839,870
85590,941,925
85600,959,999
85610,987,1026
85620,1005,1041
85630,1017,1048
85640,1031,1052
85650,1036,1070
85660,1042,1081
85670,1031,1080
85680,1018,1081
85690,987,1068
85700,975,1051
85710,970,1046
85720,960,1039
85730,957,1028
85740,962,1036
85750,955,1036
85760,949,1031
85770,949,1033
85780,946,1027
85790,941,1025
85800,942,1032
85810,936,1034
85820,949,1027
85830,1049,1164
85840,963,1052
85850,885,998
85860,801,968
85870,794,915
85880,872,859
85890,947,971
85900,966,1018
85910,986,1039
85920,1003,1049
85930,1015,1055
85940,1024,1065
85950,1037,1075
85960,1037,1086
85970,1026,1084
85980,1000,1076
85990,979,1064
86000,966,1052
86010,960,1046
86020,955,1044
86030,953,1036
86040,954,1043
86050,950,1040
86060,943,1035
86070,945,1038
86080,941,1034
86090,938,1036
86100,935,1038
86110,939,1032
86120,963,1036
86130,991,1085
86140,927,1034
86150,860,992
86160,789,962
86170,813,903
86180,913,906
86190,953,1008
86200,962,1038
86210,981,1049
86220,994,1061
86230,1008,1067
86240,1018,1074
86250,1025,1087
86260,1020,1093
86270,1000,1086
86280,979,1078
86290,958,1065
86300,949,1055
86310,956,1054
86320,948,1053
86330,943,1049
86340,941,1051
86350,941,1051
86360,934,1048
86370,936,1047
86380,931,1046
86390,923,1046
86400,931,1044
86410,939,1045
86420,1141,1117
86430,954,1075
86440,890,1021
86450,797,977
86460,786,928
86470,874,892
86480,946,997
86490,955,1042
86500,970,1053
86510,981,1056
86520,993,1064
86530,1008,1072
86540,1013,1077
86550,1024,1090
86560,1012,1094
86570,995,1080
86580,975,1072
86590,955,1066
86600,946,1052
86610,940,1053
86620,939,1053
86630,932,1052
86640,938,1055
86650,927,1055
86660,928,1051
86670,928,1052
86680,926,1054
86690,919,1050
86700,929,1047
86710,941,1048
86720,1148,1221
86730,941,1069
86740,874,1019
86750,784,989
86760,807,938
86770,910,944
86780,931,1023
86790,957,1050
86800,971,1054
86810,973,1053
86820,991,1062
86830,999,1062
86840,1008,1072
86850,1016,1083
86860,1008,1083
86870,991,1075
86880,973,1070
86890,957,1058
86900,945,1051
86910,949,1051
86920,943,1051
86930,946,1047
86940,943,1050
86950,940,1055
86960,940,1049
86970,943,1054
86980,931,1052
86990,938,1037
87000,951,1040
87010,950,1046
87020,1129,1208
87030,959,1066
87040,893,1023
87050,811,989
87060,846,966
87070,932,943
87080,950,1029
87090,968,1043
87100,983,1042
87110,989,1040
87120,999,1042
87130,1010,1048
87140,1017,1050
87150,1026,1058
87160,1020,1063
87170,1003,1053
87180,989,1055
87190,976,1052
87200,971,1048
87210,965,1048
87220,960,1050
87230,958,1049
87240,958,1051
87250,952,1048
87260,950,1047
87270,951,1052
87280,950,1047
87290,964,1046
87300,962,1046
87310,1179,1224
87320,973,1067
87330,890,1019
87340,831,988
87350,910,1006
87360,922,973
87370,962,1048
87380,974,1039
87390,989,1041
87400,995,1037
87410,1009,1040
87420,1019,1050
87430,1021,1055
87440,1021,1058
87450,1000,1056
87460,987,1055
87470,975,1049
87480,972,1051
87490,965,1051
87500,958,1049
87510,962,1052
87520,955,1059
87530,952,1050
87540,949,1054
87550,947,1050
87560,949,1046
87570,962,1047
87580,962,1046
87590,990,1092
87600,959,1053
87610,885,1023
87620,892,1017
87630,913,964
87640,952,1042
87650,966,1036
87660,969,1037
87670,978,1038
87680,988,1033
87690,998,1039
87700,1004,1041
87710,1008,1044
87720,1003,1054
87730,996,1052
87740,972,1052
87750,972,1052
87760,968,1051
87770,967,1046
87780,967,1053
87790,966,1053
87800,969,1050
87810,965,1055
87820,963,1054
87830,964,1046
87840,976,1046
87850,968,1046
87860,963,1041
87870,996,1055
87880,1006,1089
87890,957,1042
87900,974,1038
87910,974,1002
87920,928,1000
87930,960,1041
87940,967,1033
87950,964,1027
87960,969,1027
87970,972,1022
87980,973,1022
87990,984,1023
88000,988,1025
88010,993,1035
88020,995,1047
88030,993,1058
88040,981,1051
88050,982,1053
88060,976,1053
88070,976,1049
88080,973,1057
88090,972,1056
88100,973,1053
88110,969,1058
88120,973,1052
88130,976,1052
88140,987,1053
88150,975,1051
88160,975,1044
88170,1198,1172
88180,997,1084
88190,1013,1067
88200,1069,1070
88210,937,977
88220,955,1048
88230,964,1040
88240,957,1037
88250,956,1027
88260,960,1026
88270,961,1027
88280,961,1022
88290,967,1027
88300,978,1037
88310,985,1045
88320,993,1060
88330,987,1063
88340,978,1059
88350,978,1065
88360,981,1063
88370,970,1062
88380,972,1066
88390,975,1065
88400,968,1065
88410,968,1064
88420,977,1061
88430,987,1062
88440,980,1055
88450,978,1057
88460,992,1059
88470,1030,1104
88480,1034,1085
88490,1129,1077
88500,969,973
88510,949,1048
88520,960,1040
88530,957,1039
88540,954,1035
88550,952,1027
88560,955,1027
88570,949,1028
88580,957,1028
88590,963,1035
88600,984,1051
88610,987,1056
88620,984,1063
88630,985,1063
88640,980,1055
88650,982,1059
88660,969,1059
88670,979,1057
88680,977,1058
88690,977,1062
88700,969,1061
88710,975,1057
88720,977,1054
88730,988,1057
88740,979,1047
88750,982,1051
88760,984,1048
88770,1044,1154
88780,1029,1095
88790,1137,1082
88800,1019,981
88810,945,1039
88820,955,1039
88830,955,1039
88840,952,1029
88850,946,1024
88860,947,1018
88870,943,1021
88880,949,1020
88890,957,1031
88900,971,1048
88910,981,1055
88920,980,1058
88930,977,1058
88940,974,1051
88950,975,1058
88960,969,1060
88970,972,1056
88980,974,1059
88990,970,1065
89000,970,1059
89010,974,1053
89020,986,1056
89030,976,1050
89040,976,1054
89050,976,1050
89060,984,1053
89070,1030,1113
89080,1129,1113
89090,1094,1022
89100,941,1032
89110,949,1041
89120,942,1031
89130,941,1027
89140,933,1023
89150,928,1015
89160,929,1014
89170,927,1014
89180,932,1015
89190,947,1030
89200,971,1050
89210,975,1054
89220,982,1057
89230,973,1058
89240,961,1057
89250,966,1063
89260,966,1065
89270,969,1057
89280,972,1059
89290,969,1066
89300,965,1058
89310,979,1058
89320,984,1061
89330,968,1048
89340,977,1049
89350,980,1051
89360,1012,1058
89370,1073,1115
89380,1244,1110
89390,976,971
89400,958,1040
89410,951,1035
89420,952,1025
89430,938,1021
89440,936,1017
89450,934,1009
89460,936,1011
89470,945,1017
89480,964,1032
89490,985,1052
89500,998,1060
89510,982,1051
89520,984,1053
89530,972,1053
89540,971,1055
89550,979,1056
89560,986,1056
89570,977,1058
89580,981,1056
89590,988,1056
89600,993,1053
89610,989,1050
89620,985,1048
89630,987,1047
89640,1143,1104
89650,1174,1140
89660,1106,989
89670,964,1044
89680,962,1038
89690,954,1029
89700,950,1024
89710,942,1017
89720,937,1010
89730,936,1007
89740,941,1014
89750,952,1023
89760,983,1041
89770,992,1052
89780,987,1046
89790,988,1050
89800,986,1049
89810,980,1046
89820,985,1053
89830,981,1054
89840,980,1053
89850,985,1050
89860,990,1051
89870,997,1047
89880,986,1041
89890,990,1041
89900,987,1036
89910,992,1043
89920,1155,1195
89930,1283,1094
89940,961,986
89950,962,1035
89960,956,1022
89970,952,1020
89980,941,1014
89990,932,1003
90000,932,1002
90010,929,1000
90020,929,998
90030,937,1007
90040,959,1025
90050,977,1036
90060,989,1051
90070,988,1068
90080,976,1068
90090,985,1011
90100,983,1039
90110,976,1052
90120,973,1088
90130,975,1023
90140,997,1044
90150,989,1075
90160,990,1044
90170,954,1048
90180,985,1035
90190,1000,1035
90200,980,1124
90210,1012,1017
90220,1200,1169
90230,1100,976
90240,953,1044
90250,948,1044
90260,931,1047
90270,942,1031
90280,922,1044
90290,927,1024
90300,924,1031
90310,924,1010
90320,919,998
90330,942,1044
90340,952,1048
90350,984,1035
90360,960,1053
90370,972,1072
90380,972,1028
90390,983,1059
90400,964,1064
90410,977,1063
90420,984,1085
90430,967,1087
90440,988,1055
90450,970,1060
90460,999,1101
90470,972,1025
90480,970,1049
90490,980,1113
90500,989,1042
90510,1108,1089
90520,1278,1076
90530,952,992
90540,939,1069
90550,942,1031
90560,917,1036
90570,910,1033
90580,919,1019
90590,890,1007
90600,915,1026
90610,942,1028
90620,934,1026
90630,959,1007
90640,969,1058
90650,970,1063
90660,977,1057
90670,968,1061
90680,973,1055
90690,980,1053
90700,978,1067
90710,979,1058
90720,958,1060
90730,944,1052
90740,950,1041
90750,980,1043
90760,968,1035
90770,960,1024
90780,947,1033
90790,995,1038
90800,1071,1070
90810,1276,1048
90820,950,992
90830,936,1025
90840,946,1018
90850,938,1018
90860,913,1003
90870,925,1004
90880,903,1004
90890,902,993
90900,900,993
90910,901,995
90920,897,1004
90930,907,1016
90940,963,1027
90950,952,1031
90960,955,1032
90970,945,1030
90980,960,1033
90990,958,1056
91000,955,1040
91010,934,1039
91020,949,1042
91030,953,1037
91040,963,1028
91050,968,1033
91060,966,1032
91070,953,1027
91080,965,1025
91090,963,1028
91100,1077,1078
91110,1270,1050
91120,965,988
91130,958,1023
91140,940,1021
91150,920,1017
91160,922,1013
91170,907,1006
91180,927,1003
91190,887,992
91200,939,993
91210,913,1003
91220,921,1007
91230,968,1020
91240,990,1041
91250,1001,1038
91260,978,1040
91270,987,1042
91280,982,1037
91290,996,1042
91300,968,1044
91310,992,1047
91320,1007,1055
91330,966,1029
91340,978,1031
91350,999,1039
91360,980,1035
91370,973,1034
91380,1001,1037
91390,969,1037
91400,1051,1078
91410,1319,1126
91420,972,983
91430,955,1031
91440,943,1028
91450,948,1025
91460,951,1013
91470,941,1010
91480,908,1008
91490,901,1002
91500,959,1007
91510,928,1011
91520,952,1021
91530,953,1044
91540,962,1050
91550,984,1044
91560,974,1049
91570,993,1058
91580,953,1053
91590,982,1056
91600,955,1054
91610,1011,1055
91620,985,1046
91630,977,1050
91640,986,1042
91650,970,1044
91660,979,1037
91670,980,1036
91680,999,1045
91690,1335,1124
91700,1101,966
91710,962,1027
91720,961,1033
91730,956,1024
91740,964,1022
91750,914,1014
91760,910,1003
91770,922,1001
91780,923,1003
91790,949,1006
91800,968,1024
91810,961,1038
91820,972,1041
91830,966,1038
91840,938,1041
91850,951,1042
91860,964,1050
91870,940,1047
91880,963,1050
91890,973,1051
91900,971,1044
91910,968,1040
91920,973,1036
91930,947,1042
91940,964,1037
91950,962,1035
91960,1087,1073
91970,1345,1153
91980,957,980
91990,973,1036
92000,937,1025
92010,941,1021
92020,945,1021
92030,929,1005
92040,909,1003
92050,888,1002
92060,933,998
92070,930,1005
92080,959,1025
92090,976,1039
92100,977,1042
92110,993,1050
92120,969,1043
92130,974,1051
92140,959,1051
92150,955,1051
92160,1008,1053
92170,953,1054
92180,964,1052
92190,964,1042
92200,975,1048
92210,973,1034
92220,978,1038
92230,958,1032
92240,984,1038
92250,965,1039
92260,1094,1087
92270,1289,1059
92280,980,987
92290,944,1032
92300,938,1027
92310,932,1025
92320,947,1018
92330,926,1006
92340,913,1004
92350,918,1003
92360,930,1002
92370,956,1011
92380,961,1031
92390,991,1040
92400,970,1047
92410,961,1059
92420,968,1050
92430,954,1057
92440,967,1058
92450,954,1044
92460,944,1045
92470,958,1046
92480,954,1040
92490,985,1046
92500,1090,1088
92510,1221,1019
92520,910,961
92530,881,1016
92540,914,1012
92550,909,1009
92560,864,1008
92570,897,1002
92580,899,1001
92590,895,1002
92600,892,1000
92610,940,1016
92620,948,1035
92630,951,1039
92640,953,1044
92650,962,1050
92660,983,1049
92670,966,1047
92680,952,1047
92690,954,1048
92700,969,1045
92710,968,1051
92720,971,1043
92730,966,1041
92740,962,1041
92750,967,1045
92760,973,1051
92770,972,1046
92780,959,1036
92790,989,1045
92800,985,1043
92810,982,1039
92820,1015,1100
92830,1002,1055
92840,960,1013
92850,1011,1010
92860,941,965
92870,966,1026
92880,964,1039
92890,981,1042
92900,996,1039
92910,990,1036
92920,998,1048
92930,986,1043
92940,987,1046
92950,989,1059
92960,996,1061
92970,996,1065
92980,1000,1070
92990,992,1063
93000,980,1064
93010,962,1070
93020,973,1066
93030,998,1070
93040,982,1072
93050,977,1066
93060,974,1064
93070,988,1068
93080,982,1057
93090,972,1053
93100,985,1058
93110,987,1051
93120,1079,1185
93130,1001,1064
93140,936,1004
93150,886,999
93160,977,972
93170,966,1015
93180,988,1051
93190,993,1058
93200,984,1055
93210,1020,1055
93220,1005,1063
93230,1006,1059
93240,1025,1070
93250,1016,1077
93260,1007,1072
93270,993,1069
93280,995,1070
93290,976,1066
93300,971,1066
93310,974,1071
93320,972,1067
93330,969,1068
93340,963,1068
93350,961,1060
93360,962,1063
93370,960,1069
93380,952,1061
93390,968,1059
93400,978,1061
93410,985,1058
93420,991,1086
93430,957,1038
93440,875,985
93450,813,957
93460,891,967
93470,962,993
93480,985,1063
93490,989,1069
93500,987,1072
93510,999,1074
93520,999,1079
93530,1013,1085
93540,1007,1088
93550,1027,1097
93560,1001,1093
93570,1011,1085
93580,978,1080
93590,965,1077
93600,973,1072
93610,946,1072
93620,954,1067
93630,959,1068
93640,929,1066
93650,943,1062
93660,956,1060
93670,943,1062
93680,933,1056
93690,957,1061
93700,969,1059
93710,1159,1171
93720,959,1057
93730,918,1003
93740,815,963
93750,847,920
93760,943,941
93770,958,1049
93780,988,1066
93790,1006,1080
93800,984,1066
93810,1015,1089
93820,1015,1108
93830,998,1106
93840,991,1079
93850,1002,1089
93860,953,1092
93870,992,1031
93880,937,1062
93890,943,1058
93900,954,1062
93910,945,1074
93920,981,1067
93930,914,1072
93940,906,1044
93950,924,1087
93960,922,997
93970,925,1059
93980,970,1056
93990,1166,1206
94000,981,1122
94010,869,977
94020,778,965
94030,826,903
94040,911,939
94050,949,1043
94060,956,1083
94070,966,1107
94080,1029,1080
94090,1034,1129
94100,990,1084
94110,1000,1109
94120,1016,1113
94130,998,1110
94140,971,1082
94150,922,1067
94160,934,1034
94170,969,1068
94180,906,1054
94190,910,1031
94200,928,1050
94210,912,1058
94220,891,1108
94230,885,1023
94240,870,1045
94250,870,1049
94260,904,1059
94270,1119,1191
94280,880,1028
94290,820,977
94300,722,979
94310,773,906
94320,829,866
94330,900,968
94340,939,1002
94350,943,1071
94360,933,1074
94370,941,1081
94380,945,1056
94390,953,1078
94400,929,1105
94410,1008,1105
94420,959,1106
94430,954,1102
94440,943,1080
94450,907,1064
94460,947,1061
94470,902,1053
94480,918,1080
94490,902,1077
94500,876,1045
94510,895,1048
94520,883,1041
94530,892,1050
94540,903,1025
94550,893,1044
94560,912,1052
94570,950,1064
94580,877,1019
94590,795,1012
94600,772,908
94610,812,876
94620,906,901
94630,904,1047
94640,926,999
94650,968,1067
94660,934,1052
94670,971,1081
94680,1009,1134
94690,955,1096
94700,1003,1097
94710,966,1138
94720,929,1107
94730,959,1094
94740,928,1062
94750,933,1088
94760,913,1063
94770,914,1072
94780,912,1074
94790,901,1032
94800,905,1054
94810,929,1042
94820,901,1037
94830,885,1046
94840,939,1056
94850,927,1055
94860,1115,1193
94870,900,1051
94880,838,982
94890,777,958
94900,797,920
94910,850,887
94920,934,983
94930,951,1017
94940,947,1065
94950,961,1063
94960,949,1066
94970,997,1070
94980,981,1092
94990,986,1123
95000,1020,1103
95010,1005,1080
95020,977,1086
95030,943,1073
95040,956,1074
95050,942,1076
95060,956,1069
95070,919,1033
95080,913,1035
95090,952,1056
95100,955,1062
95110,944,1075
95120,946,1040
95130,945,1054
95140,945,1040
95150,944,1040
95160,1099,1189
95170,942,1065
95180,856,990
95190,809,953
95200,805,905
95210,865,857
95220,938,923
95230,942,1010
95240,998,1083
95250,979,1055
95260,985,1061
95270,1012,1079
95280,1004,1115
95290,1028,1093
95300,1021,1105
95310,995,1097
95320,996,1103
95330,978,1102
95340,966,1049
95350,949,1048
95360,960,1062
95370,939,1047
95380,949,1052
95390,950,1044
95400,951,1037
95410,951,1023
95420,952,1031
95430,958,1050
95440,959,1028
95450,976,1042
95460,1194,1153
95470,955,1037
95480,886,981
95490,814,950
95500,808,908
95510,857,869
95520,947,902
95530,986,1013
95540,1015,1036
95550,1008,1054
95560,1016,1056
95570,1040,1062
95580,1026,1074
95590,1066,1083
95600,1073,1091
95610,1039,1115
95620,1027,1094
95630,1013,1077
95640,1018,1056
95650,1016,1055
95660,1016,1020
95670,999,1025
95680,990,1032
95690,1021,1011
95700,998,1055
95710,984,1008
95720,1019,1006
95730,985,1011
95740,992,1012
95750,1016,1017
95760,1102,1012
95770,1063,1037
95780,941,977
95790,881,937
95800,860,924
95810,909,853
95820,989,899
95830,1065,988
95840,1077,1036
95850,1087,1060
95860,1071,1045
95870,1102,1047
95880,1101,1056
95890,1123,1065
95900,1128,1030
95910,1098,1061
95920,1071,1048
95930,1062,1032
95940,1047,1027
95950,1063,1036
95960,1029,1040
95970,1045,1027
95980,1029,1019
95990,1039,1004
96000,1027,1003
96010,1045,1034
96020,1030,1007
96030,1046,1018
96040,1042,989
96050,1092,1047
96060,974,979
96070,944,964
96080,863,924
96090,937,844
96100,1043,947
